Date,transactionvalue90trxUSD
2016/01/01,0
2016/01/02,0
2016/01/03,0
2016/01/04,0
2016/01/05,0
2016/01/06,0
2016/01/07,0
2016/01/08,0
2016/01/09,0
2016/01/10,0
2016/01/11,0
2016/01/12,0
2016/01/13,0
2016/01/14,0
2016/01/15,0
2016/01/16,0
2016/01/17,0
2016/01/18,0
2016/01/19,0
2016/01/20,0
2016/01/21,0
2016/01/22,0
2016/01/23,0
2016/01/24,0
2016/01/25,0
2016/01/26,0
2016/01/27,0
2016/01/28,0
2016/01/29,0
2016/01/30,0
2016/01/31,0
2016/02/01,0
2016/02/02,0
2016/02/03,0
2016/02/04,0
2016/02/05,0
2016/02/06,0
2016/02/07,0
2016/02/08,0
2016/02/09,0
2016/02/10,0
2016/02/11,0
2016/02/12,0
2016/02/13,0
2016/02/14,0
2016/02/15,0
2016/02/16,0
2016/02/17,0
2016/02/18,0
2016/02/19,0
2016/02/20,0
2016/02/21,0
2016/02/22,0
2016/02/23,0
2016/02/24,0
2016/02/25,0
2016/02/26,0
2016/02/27,0
2016/02/28,0
2016/02/29,0
2016/03/01,0
2016/03/02,0
2016/03/03,0
2016/03/04,0
2016/03/05,0
2016/03/06,0
2016/03/07,0
2016/03/08,0
2016/03/09,0
2016/03/10,0
2016/03/11,0
2016/03/12,0
2016/03/13,0
2016/03/14,0
2016/03/15,0
2016/03/16,0
2016/03/17,0
2016/03/18,0
2016/03/19,0
2016/03/20,0
2016/03/21,0
2016/03/22,0
2016/03/23,0
2016/03/24,0
2016/03/25,0
2016/03/26,0
2016/03/27,0
2016/03/28,0
2016/03/29,0
2016/03/30,0
2016/03/31,0
2016/04/01,0
2016/04/02,0
2016/04/03,0
2016/04/04,0
2016/04/05,0
2016/04/06,0
2016/04/07,0
2016/04/08,0
2016/04/09,0
2016/04/10,0
2016/04/11,0
2016/04/12,0
2016/04/13,0
2016/04/14,0
2016/04/15,0
2016/04/16,0
2016/04/17,0
2016/04/18,0
2016/04/19,0
2016/04/20,0
2016/04/21,0
2016/04/22,0
2016/04/23,0
2016/04/24,0
2016/04/25,0
2016/04/26,0
2016/04/27,0
2016/04/28,0
2016/04/29,0
2016/04/30,0
2016/05/01,0.674
2016/05/02,0.656
2016/05/03,0.64
2016/05/04,0.624
2016/05/05,0.608
2016/05/06,0.594
2016/05/07,0.58
2016/05/08,0.568
2016/05/09,0.556
2016/05/10,0.546
2016/05/11,0.538
2016/05/12,0.532
2016/05/13,0.533
2016/05/14,0.538
2016/05/15,0.542
2016/05/16,0.546
2016/05/17,0.549
2016/05/18,0.553
2016/05/19,0.557
2016/05/20,0.563
2016/05/21,0.567
2016/05/22,0.57
2016/05/23,0.573
2016/05/24,0.576
2016/05/25,0.578
2016/05/26,0.579
2016/05/27,0.581
2016/05/28,0.582
2016/05/29,0.582
2016/05/30,0.581
2016/05/31,0.579
2016/06/01,0.577
2016/06/02,0.573
2016/06/03,0.569
2016/06/04,0.563
2016/06/05,0.556
2016/06/06,0.549
2016/06/07,0.541
