Date,fee_to_reward7wmaUSD
2016/01/01,0.139
2016/01/02,0.118
2016/01/03,0.097
2016/01/04,0.087
2016/01/05,0.112
2016/01/06,0.14
2016/01/07,0.169
2016/01/08,0.158
2016/01/09,0.158
2016/01/10,0.144
2016/01/11,0.129
2016/01/12,0.114
2016/01/13,0.134
2016/01/14,0.124
2016/01/15,0.116
2016/01/16,0.107
2016/01/17,0.096
2016/01/18,0.098
2016/01/19,0.104
2016/01/20,0.093
2016/01/21,0.089
2016/01/22,0.096
2016/01/23,0.089
2016/01/24,0.087
2016/01/25,0.102
2016/01/26,0.111
2016/01/27,0.139
2016/01/28,0.147
2016/01/29,0.149
2016/01/30,0.147
2016/01/31,0.143
2016/02/01,0.135
2016/02/02,0.127
2016/02/03,0.116
2016/02/04,0.115
2016/02/05,0.119
2016/02/06,0.203
2016/02/07,0.204
2016/02/08,0.194
2016/02/09,0.195
2016/02/10,0.202
2016/02/11,0.193
2016/02/12,0.172
2016/02/13,0.153
2016/02/14,0.139
2016/02/15,0.13
2016/02/16,0.124
2016/02/17,0.127
2016/02/18,0.122
2016/02/19,0.125
2016/02/20,0.119
2016/02/21,0.115
2016/02/22,0.114
2016/02/23,0.17
2016/02/24,0.18
2016/02/25,0.17
2016/02/26,0.176
2016/02/27,0.162
2016/02/28,0.147
2016/02/29,0.137
2016/03/01,0.127
2016/03/02,0.128
2016/03/03,0.128
2016/03/04,0.127
2016/03/05,0.127
2016/03/06,0.132
2016/03/07,0.127
2016/03/08,0.125
2016/03/09,0.117
2016/03/10,0.106
2016/03/11,0.095
2016/03/12,0.091
2016/03/13,0.089
2016/03/14,0.091
2016/03/15,0.087
2016/03/16,0.084
2016/03/17,0.087
2016/03/18,0.087
2016/03/19,0.098
2016/03/20,0.102
2016/03/21,0.103
2016/03/22,0.099
2016/03/23,0.1
2016/03/24,0.106
2016/03/25,0.111
2016/03/26,0.11
2016/03/27,0.098
2016/03/28,0.093
2016/03/29,0.088
2016/03/30,0.091
2016/03/31,0.086
2016/04/01,0.082
2016/04/02,0.076
2016/04/03,0.07
2016/04/04,0.07
2016/04/05,0.074
2016/04/06,0.071
2016/04/07,0.07
2016/04/08,0.072
2016/04/09,0.071
2016/04/10,0.068
2016/04/11,0.065
2016/04/12,0.066
2016/04/13,0.074
2016/04/14,0.081
2016/04/15,0.08
2016/04/16,0.075
2016/04/17,0.079
2016/04/18,0.075
2016/04/19,0.07
2016/04/20,0.069
2016/04/21,0.075
2016/04/22,0.073
2016/04/23,0.07
2016/04/24,0.069
2016/04/25,0.07
2016/04/26,0.07
2016/04/27,0.067
2016/04/28,0.067
2016/04/29,0.069
2016/04/30,0.076
2016/05/01,0.087
2016/05/02,0.088
2016/05/03,0.088
2016/05/04,0.088
2016/05/05,0.091
2016/05/06,0.095
2016/05/07,0.09
2016/05/08,0.089
2016/05/09,0.087
2016/05/10,0.086
2016/05/11,0.089
2016/05/12,0.096
2016/05/13,0.105
2016/05/14,0.108
2016/05/15,0.107
2016/05/16,0.103
2016/05/17,0.098
2016/05/18,0.099
2016/05/19,0.098
2016/05/20,0.102
2016/05/21,0.104
2016/05/22,0.101
2016/05/23,0.099
2016/05/24,0.096
2016/05/25,0.096
2016/05/26,0.098
2016/05/27,0.102
